SampleID	Diet_Classification	MouseStrain
ERS606345	LFD	C57BL6
ERS606346	LFD	C57BL6
ERS606347	LFD	Balbc
ERS606348	LFD	Balbc
ERS606349	LFD	Balbc
ERS606350	LFD	Balbc
ERS606351	LFD	Balbc
ERS606352	LFD	Balbc
ERS606353	LFD	Balbc
ERS606354	LFD	Balbc
ERS606355	LFD	SJL
ERS606356	LFD	SJL
ERS606357	LFD	SJL
ERS606358	LFD	SJL
ERS606359	LFD	SJL
ERS606360	LFD	SJL
ERS606361	LFD	SJL
ERS606362	LFD	SJL
ERS606363	LFD	129S
ERS606364	LFD	129S
ERS606365	LFD	129S
ERS606366	LFD	129S
ERS606367	LFD	129S
ERS606368	LFD	129S
ERS606369	LFD	129S
ERS606370	LFD	129S
ERS606371	LFD	SJL-C57BL6
ERS606372	LFD	SJL-C57BL6
ERS606373	LFD	SJL-C57BL6
ERS606374	LFD	SJL-C57BL6
ERS606375	LFD	SJL-C57BL6
ERS606376	LFD	SJL-C57BL6
ERS606377	LFD	SJL-C57BL6
ERS606378	LFD	SJL-C57BL6
ERS606379	LFD	NOD
ERS606380	LFD	NOD
ERS606381	LFD	NOD
ERS606382	LFD	NOD
ERS606383	LFD	NOD
ERS606384	LFD	NOD
ERS606385	LFD	NOD
ERS606386	LFD	NOD
ERS606387	LFD	129S
ERS606388	LFD	129S
ERS606391	LFD	129S
ERS606394	LFD	C57BL6
ERS606395	LFD	C57BL6
ERS606396	LFD	C57BL6
ERS606397	LFD	C57BL6
ERS606404	LFD	C57BL6
ERS606405	HFD	C57BL6
ERS606409	LFD	C57BL6
ERS606410	LFD	C57BL6
ERS606421	LFD	C57BL6
ERS606422	LFD	C57BL6
ERS606423	LFD	C57BL6
ERS606424	LFD	C57BL6
ERS606425	LFD	C57BL6
ERS606426	LFD	C57BL6
ERS606427	LFD	C57BL6
ERS606428	LFD	C57BL6
ERS606429	HFD	C57BL6
ERS606430	HFD	C57BL6
ERS606431	HFD	C57BL6
ERS606432	HFD	C57BL6
ERS606433	HFD	C57BL6
ERS606434	HFD	C57BL6
ERS606435	HFD	C57BL6
ERS606436	HFD	C57BL6
ERS606453	LFD	C57BL6
ERS606454	LFD	SW
ERS606455	LFD	SW
ERS606456	LFD	SW
ERS606457	LFD	SW
ERS606458	LFD	SW
ERS606459	LFD	SW
ERS606460	LFD	SW
ERS606461	LFD	SW
ERS606462	LFD	SW
ERS606463	LFD	C57BL6
ERS606464	LFD	C57BL6
ERS606465	LFD	C57BL6
ERS606466	LFD	C57BL6
ERS606467	LFD	C57BL6
ERS606468	LFD	C57BL6
ERS606469	LFD	C57BL6
ERS606470	LFD	C57BL6
ERS606471	LFD	C57BL6
ERS811228	LFD	129S
ERS811237	LFD	129S
ERS811238	HFD	129S
ERS811240	LFD	129S
ERS811241	HFD	129S
ERS811243	HFD	129S
ERS811244	HFD	129S
ERS811246	LFD	129S
ERS811229	HFD	129S
ERS811247	HFD	129S
ERS811249	LFD	129S
ERS811250	HFD	129S
ERS811252	LFD	129S
ERS811253	HFD	129S
ERS811255	LFD	129S
ERS811256	HFD	129S
ERS811258	LFD	C57BL6
ERS811259	HFD	C57BL6
ERS811261	LFD	C57BL6
ERS811262	HFD	C57BL6
ERS811264	LFD	C57BL6
ERS811265	HFD	C57BL6
ERS811231	LFD	129S
ERS811267	LFD	C57BL6
ERS811268	HFD	C57BL6
ERS811270	LFD	C57BL6
ERS811272	LFD	C57BL6
ERS811273	HFD	C57BL6
ERS811275	LFD	C57BL6
ERS811232	HFD	129S
ERS811276	HFD	C57BL6
ERS811278	HFD	C57BL6
ERS811280	HFD	C57BL6
ERS811234	LFD	129S
ERS811235	HFD	129S
SRS899070	LFD	C57BL6
SRS899081	LFD	C57BL6
